Epoch,Learning Rate,Train Loss,Train Accuracy,Test Accuracy
1,0.01,2.2131,14.57,24.11
2,0.01,1.8386,27.86,38.36
3,0.01,1.5881,39.37,46.45
4,0.01,1.4021,47.8,53.54
5,0.01,1.2466,54.16,58.56
6,0.01,1.1392,58.94,62.83
7,0.01,1.0322,63.17,66.28
8,0.01,0.9591,65.92,68.14
9,0.01,0.9031,67.97,70.1
10,0.01,0.8524,70.16,68.42
11,0.01,0.7986,72.18,73.3
12,0.01,0.7697,73.14,71.05
13,0.01,0.7268,74.74,74.84
14,0.01,0.7062,75.52,75.55
15,0.01,0.6712,76.67,77.06
16,0.01,0.6461,77.78,76.71
17,0.01,0.6299,78.29,77.6
18,0.01,0.6088,79.01,78.81
19,0.01,0.5901,79.6,78.66
20,0.01,0.5707,80.12,78.7
21,0.01,0.5583,80.78,78.82
22,0.01,0.5401,81.31,79.96
23,0.01,0.5234,82.1,80.36
24,0.01,0.5094,82.45,79.88
25,0.01,0.4976,82.85,79.97
26,0.01,0.4977,82.77,80.14
27,0.01,0.4759,83.63,80.02
28,0.01,0.4719,83.52,79.32
29,0.01,0.46,84.29,82.04
30,0.01,0.4494,84.39,81.22
31,0.01,0.4389,84.86,79.68
32,0.01,0.4295,85.07,81.82
33,0.01,0.4291,85.16,81.71
34,0.01,0.4153,85.5,81.91
35,0.01,0.4019,86.22,81.62
36,0.01,0.3933,86.34,82.59
37,0.01,0.3899,86.46,82.15
38,0.01,0.3847,86.63,82.08
39,0.01,0.373,87.02,82.11
40,0.01,0.3724,87.19,82.55
41,0.01,0.3602,87.44,82.53
42,0.01,0.3653,87.38,82.44
43,0.01,0.3553,87.67,82.64
44,0.01,0.3432,88.15,81.29
45,0.01,0.3452,87.96,81.45
46,0.01,0.3383,88.29,82.4
47,0.01,0.335,88.37,81.11
48,0.01,0.3232,88.75,82.59
49,0.01,0.319,88.91,82.57
50,0.01,0.3185,88.81,81.54
51,0.01,0.3124,89.05,82.87
52,0.01,0.312,89.18,82.36
53,0.01,0.3038,89.37,82.18
54,0.01,0.2969,89.58,82.41
55,0.01,0.3008,89.51,82.89
56,0.01,0.2931,89.73,82.42
57,0.01,0.286,90.02,82.4
